medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
long,Credit_card,weekday,pickup_Queens,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Queens,dropoff_Manhattan
short,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Other,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Brooklyn
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Cash,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekend,pickup_Unknown,dropoff_Unknown
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekend,pickup_Manhattan,dropoff_Queens
long,Cash,weekend,pickup_Manhattan,dropoff_Queens
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Brooklyn
short,Cash,weekend,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Brooklyn
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
Credit_card,weekday,pickup_Bronx,dropoff_Manhattan,
short,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
long,Cash,weekend,pickup_Manhattan,dropoff_Brooklyn
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekend,pickup_Unknown,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Queens
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
long,Credit_card,weekend,pickup_Queens,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
long,Credit_card,weekday,pickup_Manhattan,dropoff_Queens
medium,Cash,weekend,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
long,Credit_card,weekday,pickup_Manhattan,dropoff_Queens
long,Credit_card,weekday,pickup_Queens,dropoff_Queens
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekend,pickup_Manhattan,dropoff_Manhattan
short,Cash,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
long,Cash,weekend,pickup_Manhattan,dropoff_Bronx
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
short,Credit_card,weekday,pickup_Manhattan,dropoff_Manhattan
medium,Credit_card,weekday,pickup_Queens,dropoff_Manhattan
long,Credit_card,weekend,pickup_Queens,dropoff_Manhattan
