passenger_count,trip_distance,RatecodeID,total_amount,trip_duration,pickup_borough_Brooklyn,pickup_borough_EWR,pickup_borough_Manhattan,pickup_borough_Queens,pickup_borough_Staten Island,pickup_borough_Unknown,dropoff_borough_Brooklyn,dropoff_borough_EWR,dropoff_borough_Manhattan,dropoff_borough_Queens,dropoff_borough_Staten Island,dropoff_borough_Unknown,payment_type
2,18.64,2.0,78.88,59.3,False,False,False,True,False,False,False,False,True,False,False,False,1
2,8.4,1.0,34.55,16.966666666666665,False,False,True,False,False,False,False,False,True,False,False,False,1
3,0.9,1.0,11.75,4.966666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
4,1.84,1.0,15.96,12.983333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.7,1.0,17.8,13.116666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.21,1.0,10.78,5.35,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.0,1.0,18.35,11.6,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.31,1.0,11.3,5.8,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.92,1.0,12.8,11.083333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.1,1.0,11.76,6.116666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.3,1.0,18.8,13.85,True,False,False,False,False,False,False,False,True,False,False,False,1
1,19.06,1.0,66.06,50.38333333333333,False,False,False,True,False,False,True,False,False,False,False,False,1
1,4.12,1.0,22.8,23.916666666666668,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.0,1.0,15.3,11.883333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.5,1.0,18.35,14.05,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.7,1.0,12.95,13.033333333333331,False,False,False,True,False,False,False,False,False,True,False,False,1
5,6.33,1.0,30.36,20.9,False,False,True,False,False,False,True,False,False,False,False,False,1
1,1.3,1.0,14.75,10.566666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.6,1.0,12.35,4.0,False,False,True,False,False,False,False,False,True,False,False,False,1
2,0.7,1.0,10.55,5.2,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.6,1.0,12.3,7.55,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.42,1.0,19.12,10.033333333333331,False,False,True,False,False,False,False,False,True,False,False,False,1
2,1.7,1.0,15.3,13.65,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.03,1.0,16.56,13.75,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.9,1.0,13.2,5.2,False,False,True,False,False,False,False,False,True,False,False,False,1
2,3.7,1.0,25.55,30.6,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.39,1.0,16.8,14.75,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.15,1.0,10.79,3.283333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.86,1.0,9.96,3.5166666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
5,3.27,1.0,24.12,23.433333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.36,1.0,8.3,1.6,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.97,1.0,9.96,4.05,False,False,True,False,False,False,False,False,True,False,False,False,1
3,1.4,1.0,12.85,6.566666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
5,0.53,1.0,10.56,4.533333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,4.55,1.0,22.3,22.966666666666665,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.07,1.0,13.39,8.2,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.8,1.0,10.1,3.583333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
4,2.79,1.0,22.25,20.966666666666665,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.39,1.0,15.8,12.983333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,4.51,1.0,23.76,16.516666666666666,False,False,True,False,False,False,True,False,False,False,False,False,1
1,1.18,1.0,9.8,5.266666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.0,1.0,12.0,9.366666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
2,3.1,1.0,30.8,15.116666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,6.9,1.0,29.35,21.433333333333334,False,False,False,True,False,False,False,False,True,False,False,False,1
1,1.13,1.0,11.16,5.766666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.3,1.0,17.9,11.7,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.8,1.0,22.5,17.1,False,False,True,False,False,False,True,False,False,False,False,False,1
5,1.69,1.0,15.36,12.283333333333331,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.78,1.0,18.8,18.6,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.4,1.0,14.15,10.35,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.45,1.0,14.63,10.55,False,False,True,False,False,False,False,False,True,False,False,False,1
2,4.54,1.0,24.96,20.9,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.9,1.0,10.35,4.116666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.47,1.0,9.2,3.933333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
2,4.0,1.0,32.75,36.03333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
2,9.97,1.0,54.47,33.55,False,False,False,True,False,False,False,False,True,False,False,False,1
2,1.48,1.0,12.36,5.8,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.9,1.0,31.63,35.28333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.79,1.0,14.14,9.883333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.44,1.0,20.16,14.7,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.64,1.0,10.3,6.166666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.7,1.0,12.88,4.3,False,False,True,False,False,False,False,False,True,False,False,False,1
2,2.16,1.0,15.3,12.6,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.7,1.0,18.95,17.516666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.48,1.0,12.09,5.183333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.06,1.0,12.36,5.716666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,6.4,1.0,36.6,32.333333333333336,False,False,True,False,False,False,True,False,False,False,False,False,1
1,0.93,1.0,12.36,6.25,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.99,1.0,23.0,21.433333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.3,1.0,8.3,2.3,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.97,1.0,15.8,10.283333333333331,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.25,1.0,10.21,3.7,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.8,1.0,11.8,7.633333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.4,1.0,16.56,14.666666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,4.1,1.0,24.35,23.9,False,False,True,False,False,False,False,False,True,False,False,False,1
1,16.86,2.0,82.02,40.78333333333333,False,False,False,False,False,True,False,False,False,False,False,True,1
1,1.38,1.0,12.96,6.933333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.73,1.0,15.0,10.316666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.1,1.0,19.15,14.883333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,20.0,3.0,105.05,38.73333333333333,False,False,True,False,False,False,False,True,False,False,False,False,1
1,1.4,1.0,13.5,5.75,False,False,True,False,False,False,False,False,True,False,False,False,1
4,2.3,1.0,12.35,7.733333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.3,1.0,15.37,13.416666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.13,1.0,9.36,6.833333333333333,True,False,False,False,False,False,True,False,False,False,False,False,1
1,2.37,1.0,20.16,19.83333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
2,0.89,1.0,10.56,5.166666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.86,1.0,10.56,4.55,False,False,True,False,False,False,False,False,True,False,False,False,1
3,0.94,1.0,9.79,3.566666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
2,0.9,1.0,9.54,3.55,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.6,1.0,21.36,15.85,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.65,1.0,13.56,9.15,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.32,1.0,20.16,19.5,False,False,True,False,False,False,False,False,True,False,False,False,1
5,0.87,1.0,15.36,14.55,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.99,1.0,19.75,15.5,False,False,True,False,False,False,False,False,True,False,False,False,1
2,0.98,1.0,26.16,32.95,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.86,1.0,11.76,6.766666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
6,2.12,1.0,15.0,12.266666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.79,1.0,19.56,12.966666666666669,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.49,1.0,6.96,4.4,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.57,1.0,25.72,29.73333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
2,0.3,1.0,8.75,1.4666666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.3,1.0,28.56,33.36666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
2,1.26,1.0,12.6,6.966666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
2,3.55,1.0,20.76,15.133333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,28.54,2.0,75.47,39.13333333333333,False,False,False,True,False,False,False,False,True,False,False,False,1
2,1.3,1.0,11.75,6.833333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
6,1.2,1.0,11.62,4.133333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,5.01,1.0,26.0,17.733333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.0,5.0,88.5,0.0833333333333333,False,False,False,True,False,False,False,False,False,True,False,False,1
1,1.37,1.0,12.96,6.4,False,False,True,False,False,False,False,False,True,False,False,False,1
